case_id,image_path,mask_path
5564e05bf7c0,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/5564e05bf7c0/5564e05bf7c0_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/5564e05bf7c0/5564e05bf7c0_seg.nii.gz
088b1fc98638,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/088b1fc98638/088b1fc98638_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/088b1fc98638/088b1fc98638_seg.nii.gz
6e03e5b69ea2,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/6e03e5b69ea2/6e03e5b69ea2_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/6e03e5b69ea2/6e03e5b69ea2_seg.nii.gz
854f4aaed659,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/854f4aaed659/854f4aaed659_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/854f4aaed659/854f4aaed659_seg.nii.gz
dc66db38089e,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/dc66db38089e/dc66db38089e_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/dc66db38089e/dc66db38089e_seg.nii.gz
9b3cc19ee163,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/9b3cc19ee163/9b3cc19ee163_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/9b3cc19ee163/9b3cc19ee163_seg.nii.gz
48d41c81106a,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/48d41c81106a/48d41c81106a_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/48d41c81106a/48d41c81106a_seg.nii.gz
e6d667f90877,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/e6d667f90877/e6d667f90877_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/e6d667f90877/e6d667f90877_seg.nii.gz
b4b5023db684,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/b4b5023db684/b4b5023db684_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/b4b5023db684/b4b5023db684_seg.nii.gz
d8d0ca7f73c9,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/d8d0ca7f73c9/d8d0ca7f73c9_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/d8d0ca7f73c9/d8d0ca7f73c9_seg.nii.gz
80d2c52bb21a,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/80d2c52bb21a/80d2c52bb21a_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/80d2c52bb21a/80d2c52bb21a_seg.nii.gz
9dc8c5004830,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/9dc8c5004830/9dc8c5004830_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/9dc8c5004830/9dc8c5004830_seg.nii.gz
f3bfed047661,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/f3bfed047661/f3bfed047661_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/f3bfed047661/f3bfed047661_seg.nii.gz
db8c07bb3bc4,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/db8c07bb3bc4/db8c07bb3bc4_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/db8c07bb3bc4/db8c07bb3bc4_seg.nii.gz
7720e8bd314e,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/7720e8bd314e/7720e8bd314e_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/7720e8bd314e/7720e8bd314e_seg.nii.gz
f5d4963b9751,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/f5d4963b9751/f5d4963b9751_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/f5d4963b9751/f5d4963b9751_seg.nii.gz
7cadbb55a0e5,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/7cadbb55a0e5/7cadbb55a0e5_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/7cadbb55a0e5/7cadbb55a0e5_seg.nii.gz
d635a711c87b,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/d635a711c87b/d635a711c87b_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/d635a711c87b/d635a711c87b_seg.nii.gz
e9b5f9f741d2,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/e9b5f9f741d2/e9b5f9f741d2_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/e9b5f9f741d2/e9b5f9f741d2_seg.nii.gz
4d8d0d3ac934,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/4d8d0d3ac934/4d8d0d3ac934_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/4d8d0d3ac934/4d8d0d3ac934_seg.nii.gz
ffe1b3a3ed91,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/ffe1b3a3ed91/ffe1b3a3ed91_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/ffe1b3a3ed91/ffe1b3a3ed91_seg.nii.gz
e85d47b5d80d,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/e85d47b5d80d/e85d47b5d80d_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/e85d47b5d80d/e85d47b5d80d_seg.nii.gz
a6f7d82c305d,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/a6f7d82c305d/a6f7d82c305d_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/a6f7d82c305d/a6f7d82c305d_seg.nii.gz
65bc2b135616,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/65bc2b135616/65bc2b135616_img.nii.gz,/home/fikar/gsoc/predict2/coca_project/data_canonical/images/65bc2b135616/65bc2b135616_seg.nii.gz
