feature,kruskal_stat,kruskal_p,groups_used,n_non_null
calcium_volume_mm3,21.943462897526512,6.7022090768034e-05,4,24
shape_sphericity,15.157894736842096,0.0005110989388394336,3,18
shape_maximum_3d_diameter,12.538011695906434,0.0018941106815198506,3,18
shape_surface_volume_ratio,11.41520467836257,0.003320624739589231,3,18
calcium_hu_max,8.982456140350877,0.011206872529357346,3,18
glszm_large_area_emphasis,6.0,0.04978706836786395,3,18
glszm_zone_percentage,5.298245614035089,0.07071321499858499,3,18
glcm_contrast,4.666666666666664,0.09697196786440515,3,18
glcm_correlation,4.456140350877192,0.1077361415001029,3,18
glszm_small_area_emphasis,4.257309941520468,0.11899724103011777,3,18
calcium_hu_mean,3.9415204678362628,0.139350876672566,3,18
glrlm_long_run_emphasis,2.2105263157894726,0.33112373295101133,3,18
glcm_inverse_difference_moment,1.9766081871344952,0.3722073849704114,3,18
glrlm_run_percentage,1.6257309941520433,0.44358515137282495,3,18
glrlm_short_run_emphasis,0.9824561403508767,0.6118745077601752,3,18
