feature,spearman_rho,spearman_p,spearman_abs,n_non_null
calcium_volume_mm3,0.9675425274489632,1.2488943668682302e-14,0.9675425274489632,24
shape_sphericity,-0.894736842105263,5.422110534660314e-07,0.894736842105263,18
shape_maximum_3d_diameter,0.7420020639834881,0.00042266515033981364,0.7420020639834881,18
shape_surface_volume_ratio,-0.7213622291021672,0.0007279599242661499,0.7213622291021672,18
calcium_hu_max,0.632610939112487,0.004841232347066894,0.632610939112487,18
glcm_contrast,0.5170278637770898,0.02800614736378717,0.5170278637770898,18
glszm_large_area_emphasis,0.500515995872033,0.0343837791763591,0.500515995872033,18
glszm_zone_percentage,-0.45304437564499483,0.05901670687313079,0.45304437564499483,18
calcium_hu_mean,0.45304437564499483,0.05901670687313079,0.45304437564499483,18
glcm_correlation,0.4117647058823529,0.08953914742899156,0.4117647058823529,18
glszm_small_area_emphasis,-0.3519091847265222,0.15210693918997698,0.3519091847265222,18
glcm_inverse_difference_moment,-0.2961816305469556,0.23271685741068457,0.2961816305469556,18
glrlm_long_run_emphasis,0.23426212590299278,0.3494541429806418,0.23426212590299278,18
glrlm_run_percentage,-0.1867905056759546,0.4579894347688285,0.1867905056759546,18
glrlm_short_run_emphasis,-0.1393188854489164,0.5813962095847576,0.1393188854489164,18
